Id,Fecha,Año,Mes,Día,Día semana,Hora completa,Hora,Num víctimas,Participantes,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
2016-0165,2016-12-12,2016,12,12,Lunes,08:25:00,8,1,BICICLETA-PASAJEROS,CICLISTA,PASAJEROS,BICICLETA,MASCULINO,37, Entre 21- 40,,AV MARTIN GARCIA 300,AVENIDA,"GARCIA, MARTIN AV.",,"GARCIA, MARTIN AV. 300",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (108623.21898604 100090.41541188),108623.21898604,100090.41541188,-58.36926144,-34.62841919
2016-0168,2016-12-13,2016,12,13,Martes,10:40:00,10,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,43,Entre 41-60,2016-12-13,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,LA PLATA AV.,"POMAR, GREGORIO TTE. CNEL.","LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (103673.23003122 98676.84527702),103673.23003122,98676.84527702,-58.42323628,-34.64119105
2016-0169,2016-12-15,2016,12,15,Jueves,15:30:00,15,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,24, Entre 21- 40,2016-12-16,NUÑEZ Y AV RICARDO BALBIN,AVENIDA,NU?EZ,"BALBIN, RICARDO, DR. AV.","NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (98526.50846677 108043.08552265),98526.50846677,108043.08552265,-58.47935434,-34.55676497
2016-0170,2016-12-19,2016,12,19,Lunes,17:10:00,17,1,MOTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,21, Entre 21- 40,2016-12-19,AV GRAL PAZ 4500,GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 4500",Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (96082.96647324 107261.96873833),96082.96647324,107261.96873833,-58.50598256,-34.5637998
2016-0171,2016-12-25,2016,12,25,Domingo,19:00:00,19,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,SD,0,Menos de 20,,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,AUTOPISTA,"HUERGO, ING. AV.",AUTOPISTA 25 DE MAYO,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (108916.48040002 100856.88142642),108916.48040002,100856.88142642,-58.36607137,-34.62150748
2016-0172,2016-12-26,2016,12,26,Lunes,08:00:00,8,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,38, Entre 21- 40,2016-12-26,AV GARAY Y CASTRO,AVENIDA,"GARAY, JUAN DE AV.",CASTRO,"GARAY, JUAN DE AV. y CASTRO",Comuna 5,ALMAGRO - BOEDO,Point (104044.75501725 99724.84699960),104044.75501725,99724.8469996,-58.41918902,-34.63174259
2016-0173,2016-12-26,2016,12,26,Lunes,19:52:00,19,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,35, Entre 21- 40,,AV DIRECTORIO Y AV SAN PEDRITO,AVENIDA,DIRECTORIO AV.,SAN PEDRITO AV.,DIRECTORIO AV. y SAN PEDRITO AV.,Comuna 7,FLORES - PARQUE CHACABUCO,Point (99615.63172945 99306.93173343),99615.63172945,99306.93173343,-58.46749188,-34.63551751
2016-0174,,,,,,,,0,,SD,,,SD,0,Menos de 20,,,,,,,,,,,,,
2016-0175,2016-12-27,2016,12,27,Martes,08:15:00,8,1,PEATON-BICICLETA,PEATON,BICICLETA,PEATON,FEMENINO,0,Menos de 20,,CNEL RAMON L FALCON Y MEMBRILLAR,CALLE,"FALCON, RAMON L.,CNEL.",MEMBRILLAR,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",Comuna 7,FLORES - PARQUE CHACABUCO,Point (100243.74197213 99962.81893983),100243.74197213,99962.81893983,-58.46064174,-34.62960517
2016-0176,2016-12-28,2016,12,28,Miercoles,01:41:00,1,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,28, Entre 21- 40,,AV BELGRANO Y AV PASEO COLON,AVENIDA,BELGRANO AV.,PASEO COLON AV.,BELGRANO AV. y PASEO COLON AV.,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (108597.31948169 101875.41306445),108597.31948169,101875.41306445,-58.36956186,-34.61232875
2016-0177,2016-12-29,2016,12,29,Jueves,04:00:00,4,1,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,27, Entre 21- 40,,ARENALES 3319,CALLE,ARENALES,,ARENALES 3319,Comuna 14,PALERMO,Point (104920.46334566 104589.99681258),104920.46334566,104589.99681258,-58.40966671,-34.58788235
2016-0178,2016-12-30,2016,12,30,Viernes,16:18:00,16,1,MULTIPLE,PEATON,MULTIPLE,PEATON,FEMENINO,7,Menos de 20,,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,SAAVEDRA,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,Comuna 3,BALVANERA - SAN CRISTOBAL,Point (105541.07964363 101532.48653010),105541.07964363,101532.4865301,-58.40288226,-34.61544091
2017-0001,2017-01-02,2017,1,2,Lunes,01:00:00,1,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,18,Menos de 20,2017-01-02,AV. JUAN B JUSTO Y ACHUPALLAS,AVENIDA,"JUSTO, JUAN B. AV.",ACHUPALLAS,"JUSTO, JUAN B. AV. y ACHUPALLAS",Comuna 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Point (99757.62471161 102105.99371863),99757.62471161,102105.99371863,-58.4659423,-34.61028571
2017-0003,2017-01-05,2017,1,5,Jueves,03:10:00,3,1,CARGAS-CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,CARGAS,MASCULINO,33, Entre 21- 40,2017-01-05,OLAVARRIA Y AV. VELEZ SARSFIELD,AVENIDA,OLAVARRIA,VELEZ SARSFIELD AV.,OLAVARRIA y VELEZ SARSFIELD AV.,Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (106759.07058844 98352.11326541),106759.07058844,98352.11326541,-58.38957669,-34.64410277
2017-0007,2017-01-11,2017,1,11,Miercoles,17:00:00,17,1,MULTIPLE,PEATON,MULTIPLE,PEATON,MASCULINO,48,Entre 41-60,2017-01-11,LIMA Y MEXICO,CALLE,LIMA,MEXICO,LIMA y MEXICO,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107491.43483173 101547.26343171),107491.43483173,101547.26343171,-58.3816166,-34.61529543
2017-0008,2017-01-16,2017,1,16,Lunes,00:40:00,0,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,29, Entre 21- 40,2017-01-16,JOSE A CABRERA Y BONPLAND,CALLE,"CABRERA, JOSE A.",BONPLAND,"CABRERA, JOSE A. y BONPLAND",Comuna 14,PALERMO,Point (102213.80136590 104917.03799721),102213.8013659,104917.03799721,-58.43917004,-34.58494351
2017-0009,2017-01-16,2017,1,16,Lunes,13:56:00,13,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,36, Entre 21- 40,2017-01-16,AU 25 DE MAYO Y AV. BOEDO,AUTOPISTA,AUTOPISTA 25 DE MAYO,,AUTOPISTA 25 DE MAYO y BOEDO AV.,Comuna 5,ALMAGRO - BOEDO,Point (104341.1368196 100202.74363294),104341.1368196,100202.74363294,-58.41595919,-34.62743346
2017-0010,2017-01-16,2017,1,16,Lunes,16:30:00,16,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,23, Entre 21- 40,2017-01-16,AV. DIRECTORIO Y RIGLOS,AVENIDA,DIRECTORIO AV.,RIGLOS,DIRECTORIO AV. y RIGLOS,Comuna 6,CABALLITO,Point (102535.57417570 100108.76675064),102535.5741757,100108.76675064,-58.4356488,-34.62828656
2017-0011,2017-01-22,2017,1,22,Domingo,02:30:00,2,1,MOTO-OBJETO FIJO,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,MOTO,FEMENINO,29, Entre 21- 40,2017-01-22,AV. GRAL. PAZ Y AV. R. BALBIN,GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (96563.66494817 108815.73881056),96563.66494817,108815.73881056,-58.5007381,-34.5497951
2017-0012,2017-01-24,2017,1,24,Martes,14:00:00,14,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,30, Entre 21- 40,2017-01-24,TRAFUL Y DIOGENES TABORDA,CALLE,TRAFUL,"TABORDA, DIOGENES","TRAFUL y TABORDA, DIOGENES",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (104914.66823035 97637.72796868),104914.66823035,97637.72796868,-58.40969005,-34.6505529
2017-0013,2017-01-27,2017,1,27,Viernes,07:00:00,7,1,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,4,Menos de 20,2017-01-27,IRIARTE 3055,AVENIDA,"IRIARTE, GRAL. AV.",,"IRIARTE, GRAL. AV. 3055",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (106744.80812193 97588.11558612),106744.80812193,97588.11558612,-58.38972622,-34.65098981
2017-0014,2017-01-28,2017,1,28,Sabado,08:27:34,8,1,MULTIPLE,PASAJERO_ACOMPAÑANTE,MULTIPLE,MOTO,FEMENINO,22, Entre 21- 40,2017-01-28,AV. DONADO Y ARIAS,AVENIDA,DONADO,ARIAS,DONADO y ARIAS,Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (97378.59173196 108741.41437861),97378.59173196,108741.41437861,-58.49185972,-34.55046754
2017-0015,2017-02-02,2017,2,2,Jueves,15:18:03,15,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,82,Más de 80,2017-02-21,CORDOBA AV. Y CALLAO,AVENIDA,CORDOBA AV.,CALLAO AV.,CORDOBA AV. y CALLAO AV.,Comuna 2,RECOLETA,Point (106454.66355436 103285.14730222),106454.66355436,103285.14730222,-58.39293417,-34.59963642
2017-0016,2017-02-03,2017,2,3,Viernes,05:12:21,5,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,27, Entre 21- 40,2017-02-04,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,AUTOPISTA 25 DE MAYO,,AUTOPISTA 25 DE MAYO KM. 8.3,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107547.76713701 100705.57738660),107547.76713701,100705.5773866,-58.38099494,-34.62288231
2017-0017,2017-02-06,2017,2,6,Lunes,08:00:00,8,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,32, Entre 21- 40,2017-02-06,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,"JUSTO, JUAN B. AV.",PARAGUAY,"JUSTO, JUAN B. AV. y PARAGUAY",Comuna 14,PALERMO,Point (103145.91571023 105359.30690018),103145.91571023,105359.30690018,-58.429012,-34.58095431
2017-0018,2017-02-09,2017,2,9,Jueves,07:00:00,7,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,30, Entre 21- 40,2017-02-09,AV. GRAL. PAZ Y AV. DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (95832.05571093 95505.41641999),95832.05571093,95505.41641999,-58.50877521,-34.66977709
2017-0021,2017-02-18,2017,2,18,Sabado,05:30:00,5,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,43,Entre 41-60,2017-02-18,SARMIENTO Y LIBERTAD,CALLE,SARMIENTO,LIBERTAD,SARMIENTO y LIBERTAD,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107308.24054153 102678.45528316),107308.24054153,102678.45528316,-58.38362373,-34.60509972
2017-0024,2017-02-23,2017,2,23,Jueves,20:50:00,20,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,39, Entre 21- 40,2017-02-23,AV. RIVADAVIA 7121,AVENIDA,RIVADAVIA AV.,,RIVADAVIA AV. 7121,Comuna 7,FLORES - PARQUE CHACABUCO,Point (99762.20699423 99968.05446003),99762.20699423,99968.05446003,-58.46589308,-34.62955795
2017-0025,2017-02-24,2017,2,24,Viernes,17:05:00,17,1,MOTO-SD,CONDUCTOR,SD,MOTO,MASCULINO,23, Entre 21- 40,2017-02-24,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",RIVERA INDARTE AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",Comuna 7,FLORES - PARQUE CHACABUCO,Point (102489.38230491 97228.94942016),102489.38230491,97228.94942016,-58.43614426,-34.6542464
2017-0026,2017-02-26,2017,2,26,Domingo,05:15:00,5,2,AUTO-OBJETO FIJO,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,FEMENINO,23, Entre 21- 40,2017-02-26,AV. PERITO MORENO Y FOURNIER,AVENIDA,"MORENO, PERITO AV.",FOURNIER,"MORENO, PERITO AV. y FOURNIER",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (104113.67806500 97722.68219304),104113.678065,97722.68219304,-58.41842777,-34.64979057
2017-0026,2017-02-26,2017,2,26,Domingo,05:15:00,5,2,AUTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,AUTO,MASCULINO,19,Menos de 20,2017-02-26,AV. PERITO MORENO Y FOURNIER,AVENIDA,"MORENO, PERITO AV.",FOURNIER,"MORENO, PERITO AV. y FOURNIER",Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (104113.67806500 97722.68219304),104113.678065,97722.68219304,-58.41842777,-34.64979057
2017-0027,2017-02-26,2017,2,26,Domingo,21:57:00,21,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,0,Menos de 20,2017-02-26,AV. CASEROS 1429,AVENIDA,CASEROS AV.,,CASEROS AV. 1429,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107333.53318866 99701.77552382),107333.53318866,99701.77552382,-58.38332245,-34.6319325
2017-0028,2017-02-28,2017,2,28,Martes,09:20:00,9,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87,Más de 80,2017-02-28,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,GAONA AV.,FRAGATA PRES. SARMIENTO,GAONA AV. y FRAGATA PRES. SARMIENTO,Comuna 6,CABALLITO,Point (100783.70757056 101919.87125456),100783.70757056,101919.87125456,-58.45475488,-34.61196327
2017-0029,2017-03-07,2017,3,7,Martes,02:15:00,2,1,SD-AUTO,SD,AUTO,SD,MASCULINO,34, Entre 21- 40,2017-03-07,MOZART Y TANDIL,CALLE,MOZART,TANDIL,MOZART y TANDIL,Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (98009.35575364 97985.81952007),98009.35575364,97985.81952007,-58.48501341,-34.64742455
2017-0030,2017-03-07,2017,3,7,Martes,08:00:00,8,1,AUTO-PASAJEROS,CONDUCTOR,PASAJEROS,AUTO,FEMENINO,27, Entre 21- 40,2017-03-07,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,MOZART,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (99375.77435905 96732.87189547),99375.77435905,96732.87189547,-58.47010988,-34.65872088
2017-0031,2017-03-11,2017,3,11,Sabado,01:30:00,1,1,AUTO-OBJETO FIJO,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,MASCULINO,70,Entre 61-80,2017-03-11,24 DE NOVIEMBRE Y PAVON ,CALLE,24 DE NOVIEMBRE,PAVON,24 DE NOVIEMBRE y PAVON,Comuna 3,BALVANERA - SAN CRISTOBAL,Point (104889.75647602 100057.93817815),104889.75647602,100057.93817815,-58.4099756,-34.62873635
2017-0032,2017-03-12,2017,3,12,Domingo,05:00:00,5,1,AUTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,FEMENINO,40,Entre 41-60,2017-03-12,AV. GRAL. PAZ Y PEDRO DE MENDOZA,GRAL PAZ,"PAZ, GRAL. AV.",LOS CEDROS,"PAZ, GRAL. AV. y LOS CEDROS",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (97652.09135282 93973.55833508),97652.09135282,93973.55833508,-58.48892175,-34.68359163
2017-0033,2017-03-12,2017,3,12,Domingo,07:30:00,7,1,AUTO-AUTO,CONDUCTOR,AUTO,AUTO,MASCULINO,28, Entre 21- 40,2017-03-12,AV. GRAL. PAZ KM. 10,GRAL PAZ,"PAZ, GRAL. AV.","GUTIERREZ, RICARDO","PAZ, GRAL. AV. y GUTIERREZ, RICARDO",Comuna 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Point (94371.21426086 102884.21739121),94371.21426086,102884.21739121,-58.52466448,-34.60325478
2017-0034,2017-03-13,2017,3,13,Lunes,07:50:00,7,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,43,Entre 41-60,2017-03-13,GODOY CRUZ 2651,CALLE,GODOY CRUZ,,GODOY CRUZ 2651,Comuna 14,PALERMO,Point (103464.34360929 105543.78205193),103464.34360929,105543.78205193,-58.42554218,-34.57929036
2017-0035,2017-03-23,2017,3,23,Jueves,05:00:00,5,3,AUTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,AUTO,MASCULINO,28, Entre 21- 40,2017-03-23,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.","VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (109583.11620052 102006.72069921),109583.11620052,102006.72069921,-58.35881506,-34.61113641
2017-0035,2017-03-23,2017,3,23,Jueves,05:00:00,5,3,AUTO-OBJETO FIJO,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,MASCULINO,32, Entre 21- 40,2017-03-23,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.","VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (109583.11620052 102006.72069921),109583.11620052,102006.72069921,-58.35881506,-34.61113641
2017-0035,2017-03-23,2017,3,23,Jueves,05:00:00,5,3,AUTO-OBJETO FIJO,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,MASCULINO,30, Entre 21- 40,2017-03-23,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.","VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (109583.11620052 102006.72069921),109583.11620052,102006.72069921,-58.35881506,-34.61113641
2017-0036,2017-03-29,2017,3,29,Miercoles,18:00:00,18,2,MOTO-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOTO,FEMENINO,0,Menos de 20,2017-03-29,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"PAZ, GRAL. AV.",CAMPANA,"PAZ, GRAL. AV. y CAMPANA",Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (95300.18060161 105287.23850698),95300.18060161,105287.23850698,-58.51452347,-34.58159762
2017-0036,2017-03-29,2017,3,29,Miercoles,18:00:00,18,2,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,20, Entre 21- 40,2017-03-29,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"PAZ, GRAL. AV.",CAMPANA,"PAZ, GRAL. AV. y CAMPANA",Comuna 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Point (95300.18060161 105287.23850698),95300.18060161,105287.23850698,-58.51452347,-34.58159762
2017-0037,2017-03-31,2017,3,31,Viernes,03:00:00,3,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,41,Entre 41-60,2017-03-31,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (106817.01972475 101248.18030272),106817.01972475,101248.18030272,-58.38896772,-34.61799615
2017-0038,2017-04-01,2017,4,1,Sabado,19:00:00,19,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,FEMENINO,40,Entre 41-60,2017-04-01,AV. CASTAÑARES Y LAUTARO,AVENIDA,CASTA?ARES AV.,LAUTARO,CASTAÃ‘ARES AV. y LAUTARO,Comuna 7,FLORES - PARQUE CHACABUCO,Point (101662.32423755 98406.44885071),101662.32423755,98406.44885071,-58.44516857,-34.64363363
2017-0040,2017-04-03,2017,4,3,Lunes,09:40:00,9,1,MULTIPLE,CONDUCTOR,MULTIPLE,AUTO,MASCULINO,43,Entre 41-60,2017-04-03,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,"GUIRALDES, INT.",,"GUIRALDES, INT. 2699",Comuna 13,BELGRANO - COLEGIALES - NUÃ‘EZ,Point (102290.82648731 109281.08885461),102290.82648731,109281.08885461,-58.43834197,-34.54560369
2017-0041,2017-04-03,2017,4,3,Lunes,23:15:00,23,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,17,Menos de 20,,BALDOMERO FERNANDEZ MORENO 2186,CALLE,"FERNANDEZ MORENO, BALDOMERO",,"FERNANDEZ MORENO, BALDOMERO 2186",Comuna 7,FLORES - PARQUE CHACABUCO,Point (100774.70463767 99328.98632835),100774.70463767,99328.98632835,-58.45485084,-34.63531854
2017-0042,,,,,,,,0,,CONDUCTOR,,,MASCULINO,0,Menos de 20,2017-04-10,,,,,,,,,,,,
2017-0045,2017-04-14,2017,4,14,Viernes,06:15:00,6,1,MOTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,21, Entre 21- 40,2017-04-14,NOGOYA 5940,CALLE,NOGOYA,,NOGOYA 5940,Comuna 10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Point (94388.40460408 100522.78812728),94388.40460408,100522.78812728,-58.52449285,-34.62454175
2017-0047,2017-04-23,2017,4,23,Domingo,06:30:00,6,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,37, Entre 21- 40,2017-04-23,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,ARGENTINA AV.,CORVALAN,ARGENTINA AV. y CORVALAN,Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (99648.31069819 95261.11808541),99648.31069819,95261.11808541,-58.46713742,-34.6719879
2017-0049,2017-04-27,2017,4,27,Jueves,18:16:00,18,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,22, Entre 21- 40,2017-04-27,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",VARELA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (102273.01728657 97084.66236498),102273.01728657,97084.66236498,-58.43850413,-34.65554754
2017-0050,,,,,,,,0,,CONDUCTOR,,,MASCULINO,46,Entre 41-60,2017-04-28,,,,,,,,,,,,
2017-0050,,,,,,,,0,,PASAJERO_ACOMPAÑANTE,,,MASCULINO,16,Menos de 20,2017-04-28,,,,,,,,,,,,
2017-0051,,,,,,,,0,,CONDUCTOR,,,MASCULINO,33, Entre 21- 40,2017-05-01,,,,,,,,,,,,
2017-0052,2017-05-05,2017,5,5,Viernes,03:40:00,3,1,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,47,Entre 41-60,2017-05-05,AV. GRAL. PAZ Y GOLETA JULIA,GRAL PAZ,"PAZ, GRAL. AV.",GOLETA SANTA CRUZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (97173.99360188 94265.65054023),97173.99360188,94265.65054023,-58.49413799,-34.68095739
2017-0053,2017-05-05,2017,5,5,Viernes,20:16:22,20,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,28, Entre 21- 40,2017-05-05,VIEYTES Y VILLARINO,CALLE,VIEYTES,VILLARINO,VIEYTES y VILLARINO,Comuna 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Point (108050.74089604 97335.15201103),108050.74089604,97335.15201103,-58.37547846,-34.65326075
2017-0054,2017-05-07,2017,5,7,Domingo,21:00:00,21,1,MOTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,FEMENINO,20, Entre 21- 40,2017-05-07,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,AVENIDA,DE LOS CONSTITUYENTES AV.,"MORAN, PEDRO","DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",Comuna 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Point (97843.76024114 104700.29820723),97843.76024114,104700.29820723,-58.48680218,-34.58689719
